recid	adpricetype	adprice	adDepth	adType
1880010424	0	12	 	 
1880010425	0	12	 	 
1880010426	0	6.67	 	 
1880010427	0	5	 	 
1880010428	0	6.67	 	 
1880010429	0	6.67	 	 
1880010431	0	13	 	 
1880010433	0	8	 	 
1880010434	0	7	 	 
1880010435	0	7	 	 
1880010436	0	10	 	 
1880010437	0	10	 	 
1880010438	0	8	 	 
1880010439	0	10	 	 
1880010440	0	8	 	 
1880010441	0	8	 	 
1880010442	0	10	 	 
1880010443	0	6.67	 	 
1880010444	0	5	 	 
1880010445	0	5	 	 
1880010446	0	6.67	 	 
1880010447	0	6.67	 	 
1880010448	0	5	 	 
1880010449	0	5.5	 	 
1880010450	0	8.15	 	 
1880010451	0	9	 	 
1880010452	0	6.67	 	 
1880010453	0	6.67	 	 
1880010454	0	5.63	 	 
1880010455	0	8.34	 	 
1880010456	0	8.34	 	 
1880010457	0	18	 	 
1880010458	0	14.63	 	 
1880010459	0	22.5	 	 
1880010460	0	7.5	 	 
1880010461	0	6	 	 
1880010462	0	5	 	 
1880010463	0	5	 	 
1880010464	0	5.67	 	 
1880010465	0	6.25	 	 
1880010466	0	8.5	 	 
1880010467	0	8.5	 	 
1880010468	0	8.5	 	 
1880010469	0	5	 	 
1880010470	0	8.5	 	 
1880010471	0	7.5	 	 
1880010472	0	5	 	 
1880010473	0	7.5	 	 
1880010474	0	8.75	 	 
1880010475	0	8.75	 	 
1880010476	0	4.17	 	 
1880010477	0	4.17	 	 
1880010478	0	4.17	 	 
1880010479	0	10	 	 
1880010480	0	10	 	 
1880010481	0	32.5	 	 
1880010482	0	32.5	 	 
1880010483	0	10	 	 
1880010484	0	32.5	 	 
1880010485	0	5	 	 
1880010486	0	32.5	 	 
1880010487	0	10	 	 
1880010488	0	6	 	 
1880010489	0	6	 	 
1880010490	0	10	 	 
1880010491	0	10	 	 
1880010492	0	12.5	 	 
1880010493	0	15	 	 
1880010494	0	6.67	 	 
1880010495	0	10	 	 
1880010496	0	6	 	 
1880010497	0	8	 	 
1880010498	0	8	 	 
1880010499	0	8	 	 
1880010500	0	8	 	 
1880010501	0	5	 	 
1880010502	0	5	 	 
1880010503	0	8.75	 	 
1880010504	0	5	 	 
1880010505	0	6.67	 	 
1880010506	0	4.17	 	 
1880010507	0	5	 	 
1880010508	0	4.17	 	 
1880010509	0	7	 	 
1880010510	0	2	 	 
1880010511	0	6.75	 	 
1880010512	0	6	 	 
1880010513	0	5.55	 	 
1880010514	0	5.55	 	 
1880010516	0	5.55	 	 
1880010517	0	5	 	 
1880010518	0	5	 	 
1880010519	0	3.5	 	 
1880010520	0	5	 	 
1880010521	0	5	 	 
1880010522	0	5	 	 
1880010523	0	5	 	 
1880010524	0	5	 	 
1880010525	0	1.5	 	 
