GISJOIN,YEAR,STATE,STATEA,COUNTYA,CTY_SUBA,PLACE,PLACEA,TRACTA,ENUMDISTA,CMSA,SMSAA,URB_AREAA,BLCK_GRPA,ANXTERRA,URBRURALA,CDA,AREANAME,CENCNTY,CBD,SEA,CBC001
"G0100770","1970","Alabama","01",,,"Goshen","0770",,,,,,,,,,"Goshen",,,,279
"G0100775","1970","Alabama","01",,,"Grant","0775",,,,,,,,,,"Grant",,,,382
"G0100780","1970","Alabama","01",,,"Graysville","0780",,,,,,,,,,"Graysville",,,,3182
"G0100785","1970","Alabama","01",,,"Greensboro","0785",,,,,,,,,,"Greensboro",,,,3371
"G0100790","1970","Alabama","01",,,"Greenville","0790",,,,,,,,,,"Greenville",,,,8033
"G0100797","1970","Alabama","01",,,"Grimes","0797",,,,,,,,,,"Grimes",,,,191
"G0100800","1970","Alabama","01",,,"Grove Hill","0800",,,,,,,,,,"Grove Hill",,,,1825
"G0100805","1970","Alabama","01",,,"Guin","0805",,,,,,,,,,"Guin",,,,2220
"G0100810","1970","Alabama","01",,,"Gulf Shores","0810",,,,,,,,,,"Gulf Shores",,,,909
"G0100815","1970","Alabama","01",,,"Guntersville","0815",,,,,,,,,,"Guntersville",,,,6491
"G0100817","1970","Alabama","01",,,"Gurley","0817",,,,,,,,,,"Gurley",,,,647
"G0100820","1970","Alabama","01",,,"Gu-Win","0820",,,,,,,,,,"Gu-Win",,,,231
"G0100825","1970","Alabama","01",,,"Hackleburg","0825",,,,,,,,,,"Hackleburg",,,,726
"G0100828","1970","Alabama","01",,,"Haleburg","0828",,,,,,,,,,"Haleburg",,,,104
"G0100830","1970","Alabama","01",,,"Haleyville","0830",,,,,,,,,,"Haleyville",,,,4134
"G0100835","1970","Alabama","01",,,"Hamilton","0835",,,,,,,,,,"Hamilton",,,,3088
"G0100840","1970","Alabama","01",,,"Hammondville","0840",,,,,,,,,,"Hammondville",,,,221
"G0100845","1970","Alabama","01",,,"Hanceville","0845",,,,,,,,,,"Hanceville",,,,2027
"G0100850","1970","Alabama","01",,,"Harpersville","0850",,,,,,,,,,"Harpersville",,,,639
"G0100855","1970","Alabama","01",,,"Hartford","0855",,,,,,,,,,"Hartford",,,,2648
"G0100860","1970","Alabama","01",,,"Hartselle","0860",,,,,,,,,,"Hartselle",,,,7355
"G0100865","1970","Alabama","01",,,"Hayden","0865",,,,,,,,,,"Hayden",,,,195
"G0100867","1970","Alabama","01",,,"Hayneville","0867",,,,,,,,,,"Hayneville",,,,473
"G0100870","1970","Alabama","01",,,"Headland","0870",,,,,,,,,,"Headland",,,,2545
"G0100875","1970","Alabama","01",,,"Heath","0875",,,,,,,,,,"Heath",,,,229
"G0100880","1970","Alabama","01",,,"Heflin","0880",,,,,,,,,,"Heflin",,,,2872
"G0100885","1970","Alabama","01",,,"Helena","0885",,,,,,,,,,"Helena",,,,1110
"G0100886","1970","Alabama","01",,,"Henagar","0886",,,,,,,,,,"Henagar",,,,812
"G0100887","1970","Alabama","01",,,"Highland Lake","0887",,,,,,,,,,"Highland Lake",,,,108
"G0100890","1970","Alabama","01",,,"Hillsboro","0890",,,,,,,,,,"Hillsboro",,,,222
"G0100895","1970","Alabama","01",,,"Hobson City","0895",,,,,,,,,,"Hobson City",,,,1124
"G0100900","1970","Alabama","01",,,"Hodges","0900",,,,,,,,,,"Hodges",,,,207
"G0100905","1970","Alabama","01",,,"Hokes Bluff","0905",,,,,,,,,,"Hokes Bluff",,,,2133
"G0100910","1970","Alabama","01",,,"Holly Pond","0910",,,,,,,,,,"Holly Pond",,,,325
"G0100915","1970","Alabama","01",,,"Hollywood","0915",,,,,,,,,,"Hollywood",,,,301
"G0100925","1970","Alabama","01",,,"Homewood","0925",,,,,,,,,,"Homewood",,,,21245
"G0100927","1970","Alabama","01",,,"Hoover","0927",,,,,,,,,,"Hoover",,,,1393
"G0100930","1970","Alabama","01",,,"Hueytown","0930",,,,,,,,,,"Hueytown",,,,7095
"G0100935","1970","Alabama","01",,,"Huntsville","0935",,,,,,,,,,"Huntsville",,,,137802
"G0100940","1970","Alabama","01",,,"Hurtsboro","0940",,,,,,,,,,"Hurtsboro",,,,937
"G0100945","1970","Alabama","01",,,"Irondale","0945",,,,,,,,,,"Irondale",,,,3166
"G0100950","1970","Alabama","01",,,"Jackson","0950",,,,,,,,,,"Jackson",,,,5957
"G0100955","1970","Alabama","01",,,"Jacksonville","0955",,,,,,,,,,"Jacksonville",,,,7715
"G0100960","1970","Alabama","01",,,"Jasper","0960",,,,,,,,,,"Jasper",,,,10798
"G0100965","1970","Alabama","01",,,"Jemison","0965",,,,,,,,,,"Jemison",,,,1423
"G0100970","1970","Alabama","01",,,"Kansas","0970",,,,,,,,,,"Kansas",,,,227
"G0100972","1970","Alabama","01",,,"Kelly","0972",,,,,,,,,,"Kelly",,,,325
"G0100975","1970","Alabama","01",,,"Kennedy","0975",,,,,,,,,,"Kennedy",,,,415
"G0100980","1970","Alabama","01",,,"Killen","0980",,,,,,,,,,"Killen",,,,683
"G0100985","1970","Alabama","01",,,"Kimberly","0985",,,,,,,,,,"Kimberly",,,,847
"G0100990","1970","Alabama","01",,,"Kinsey","0990",,,,,,,,,,"Kinsey",,,,219
